account_id,account_creation_date,account_frequency,loan_amount,loan_duration,loan_status,client_id,client_birth_year,client_gender,client_region,urban_inhabitants,average_salary,unemployment_rate_1995,unemployment_rate_1996,transaction_total,transaction_type,credit_card_type,order_total_amount
47,4448-06-17,"POPLATEK MESICNE",0,0,"No Loan",55,1948-09-18,Female,"east Bohemia",54,8390,2,3,0,"No Transactions","No Card",7264
62,4447-02-23,"POPLATEK MESICNE",0,0,"No Loan",72,1923-01-13,Male,"east Bohemia",73,9538,2,2,0,"No Transactions","No Card",2273
73,4449-04-13,"POPLATEK MESICNE",0,0,"No Loan",87,1946-11-17,Female,"north Moravia",63,8994,4,5,0,"No Transactions",classic,6061
78,4448-03-08,"POPLATEK MESICNE",0,0,"No Loan",92,1966-06-12,Female,"north Moravia",100,10673,5,5,0,"No Transactions","No Card",9039
83,4447-05-22,"POPLATEK MESICNE",0,0,"No Loan",98,1973-05-04,Female,"north Bohemia",85,8705,6,8,0,"No Transactions","No Card",6150
83,4447-05-22,"POPLATEK MESICNE",0,0,"No Loan",99,1973-01-26,Male,"north Bohemia",85,8705,6,8,0,"No Transactions","No Card",6150
86,4447-02-02,"POPLATEK MESICNE",0,0,"No Loan",102,1958-09-10,Female,"north Moravia",100,10673,5,5,8086,Credit,"No Card",4324
86,4447-02-02,"POPLATEK MESICNE",0,0,"No Loan",103,1955-07-11,Male,"north Moravia",100,10673,5,5,8086,Credit,"No Card",4324
96,4446-11-05,"POPLATEK MESICNE",0,0,"No Loan",114,1969-06-24,Female,"north Moravia",100,10673,5,5,284105,Debit,classic,24480
96,4446-11-05,"POPLATEK MESICNE",0,0,"No Loan",115,1969-12-24,Male,"north Moravia",100,10673,5,5,284105,Debit,"No Card",24480
102,4449-01-11,"POPLATEK MESICNE",0,0,"No Loan",123,1969-02-12,Male,"central Bohemia",37,9622,0,1,0,"No Transactions","No Card",11120
104,4447-05-21,"POPLATEK MESICNE",0,0,"No Loan",125,1936-10-31,Male,"north Bohemia",62,9065,4,5,0,"No Transactions","No Card",2042
104,4447-05-21,"POPLATEK MESICNE",0,0,"No Loan",126,1929-09-27,Female,"north Bohemia",62,9065,4,5,0,"No Transactions","No Card",2042
107,4449-04-10,"POPLATEK MESICNE",0,0,"No Loan",129,1947-05-31,Female,"south Moravia",75,9624,2,2,0,"No Transactions","No Card",4554
112,4447-02-07,"POPLATEK MESICNE",0,0,"No Loan",134,1932-01-18,Male,"central Bohemia",52,8546,3,4,6782,Credit,"No Card",4102
112,4447-02-07,"POPLATEK MESICNE",0,0,"No Loan",135,1938-09-10,Female,"central Bohemia",52,8546,3,4,6782,Credit,"No Card",4102
115,4447-02-14,"POPLATEK MESICNE",0,0,"No Loan",138,1972-10-21,Female,"south Moravia",100,9897,2,2,800,Credit,classic,5110
117,4448-09-22,"POPLATEK MESICNE",0,0,"No Loan",141,1925-11-02,Male,"west Bohemia",59,8930,4,4,0,"No Transactions","No Card",2329
119,4447-09-08,"POPLATEK MESICNE",0,0,"No Loan",143,1978-07-09,Male,"west Bohemia",44,8561,1,1,0,"No Transactions","No Card",8252
123,4447-02-08,"POPLATEK MESICNE",0,0,"No Loan",147,1933-11-02,Female,"south Bohemia",67,9104,2,2,200,Credit,"No Card",3016
123,4447-02-08,"POPLATEK MESICNE",0,0,"No Loan",148,1940-12-25,Male,"south Bohemia",67,9104,2,2,200,Credit,"No Card",3016
126,4449-01-18,"POPLATEK MESICNE",0,0,"No Loan",151,1971-09-23,Female,"east Bohemia",71,8541,3,3,0,"No Transactions","No Card",7384
128,4446-11-06,"POPLATEK MESICNE",0,0,"No Loan",153,1981-02-12,Female,"central Bohemia",41,8598,3,3,11800,Credit,junior,0
135,4447-12-07,"POPLATEK MESICNE",0,0,"No Loan",162,1941-10-17,Male,"south Moravia",44,8403,6,6,0,"No Transactions","No Card",0
142,4446-11-02,"POPLATEK MESICNE",0,0,"No Loan",171,1929-06-25,Male,"east Bohemia",71,8541,3,3,5455,Credit,"No Card",3690
142,4446-11-02,"POPLATEK MESICNE",0,0,"No Loan",172,1935-10-05,Female,"east Bohemia",71,8541,3,3,5455,Credit,"No Card",3690
146,4448-09-19,"POPLATEK MESICNE",0,0,"No Loan",176,1929-03-11,Male,"central Bohemia",67,9753,5,5,0,"No Transactions","No Card",3823
148,4447-12-13,"POPLATEK MESICNE",0,0,"No Loan",178,1960-12-22,Male,"central Bohemia",69,11277,1,1,0,"No Transactions","No Card",2312
151,4448-09-23,"POPLATEK MESICNE",0,0,"No Loan",181,1967-07-06,Male,"north Moravia",51,8369,5,6,0,"No Transactions","No Card",3079
151,4448-09-23,"POPLATEK MESICNE",0,0,"No Loan",182,1959-07-13,Female,"north Moravia",51,8369,5,6,0,"No Transactions","No Card",3079
153,4448-10-06,"POPLATEK MESICNE",0,0,"No Loan",185,1954-05-30,Male,"north Moravia",54,8909,4,6,0,"No Transactions","No Card",4544
160,4448-09-21,"POPLATEK MESICNE",0,0,"No Loan",193,1962-05-01,Male,Prague,100,12541,0,0,0,"No Transactions","No Card",7926
162,4448-07-04,"POPLATEK MESICNE",0,0,"No Loan",195,1919-11-18,Male,"north Moravia",100,10673,5,5,0,"No Transactions","No Card",3458
162,4448-07-04,"POPLATEK MESICNE",0,0,"No Loan",196,1927-06-25,Female,"north Moravia",100,10673,5,5,0,"No Transactions","No Card",3458
163,4446-08-06,"POPLATEK MESICNE",0,0,"No Loan",197,1933-04-25,Male,"west Bohemia",82,9650,3,4,28592,Credit,"No Card",11184
165,4447-11-23,"POPLATEK MESICNE",0,0,"No Loan",199,1923-06-21,Male,"west Bohemia",56,8843,3,4,0,"No Transactions","No Card",1788
165,4447-11-23,"POPLATEK MESICNE",0,0,"No Loan",200,1928-01-13,Female,"west Bohemia",56,8843,3,4,0,"No Transactions","No Card",1788
168,4447-06-02,"POPLATEK MESICNE",0,0,"No Loan",203,1962-06-10,Male,"west Bohemia",59,8930,4,4,0,"No Transactions","No Card",2013
168,4447-06-02,"POPLATEK MESICNE",0,0,"No Loan",204,1967-06-17,Female,"west Bohemia",59,8930,4,4,0,"No Transactions","No Card",2013
172,4448-07-09,"POPLATEK MESICNE",0,0,"No Loan",208,1940-06-25,Female,"central Bohemia",41,8598,3,3,0,"No Transactions",classic,4221
172,4448-07-09,"POPLATEK MESICNE",0,0,"No Loan",209,1935-08-20,Male,"central Bohemia",41,8598,3,3,0,"No Transactions","No Card",4221
186,4448-03-30,"POPLATEK TYDNE",0,0,"No Loan",226,1942-06-16,Male,Prague,100,12541,0,0,0,"No Transactions","No Card",6862
187,4447-02-23,"POPLATEK MESICNE",0,0,"No Loan",227,1926-12-18,Female,"east Bohemia",62,8363,3,3,0,"No Transactions","No Card",2798
188,4447-05-26,"POPLATEK MESICNE",0,0,"No Loan",228,1956-03-16,Female,"east Bohemia",59,9060,2,2,0,"No Transactions","No Card",7426
192,4446-07-18,"POPLATEK MESICNE",0,0,"No Loan",232,1921-06-17,Female,"south Moravia",34,8743,2,2,12018,Credit,"No Card",10749
196,4449-04-19,"POPLATEK MESICNE",0,0,"No Loan",238,1961-11-28,Female,"central Bohemia",52,8546,3,4,0,"No Transactions",classic,8626
197,4446-11-12,"POPLATEK MESICNE",0,0,"No Loan",239,1974-09-10,Female,Prague,100,12541,0,0,22518,Credit,"No Card",18908
198,4449-01-20,"POPLATEK MESICNE",0,0,"No Loan",240,1929-06-17,Female,"north Bohemia",88,9675,6,8,0,"No Transactions","No Card",2866
207,4448-03-26,"POPLATEK MESICNE",0,0,"No Loan",250,1979-11-25,Female,"central Bohemia",69,11277,1,1,0,"No Transactions","No Card",3139
212,4446-07-30,"POPLATEK TYDNE",0,0,"No Loan",255,1951-10-11,Female,"west Bohemia",44,8561,1,1,143932,Debit,classic,83046
220,4447-05-15,"POPLATEK MESICNE",0,0,"No Loan",265,1933-01-07,Female,"north Moravia",63,8994,4,5,0,"No Transactions","No Card",3095
222,4447-02-10,"POPLATEK MESICNE",0,0,"No Loan",267,1967-06-12,Male,"north Bohemia",62,9065,4,5,500,Credit,classic,3441
225,4448-03-29,"POPLATEK MESICNE",0,0,"No Loan",270,1947-03-08,Male,"east Bohemia",74,8369,2,2,0,"No Transactions","No Card",3385
225,4448-03-29,"POPLATEK MESICNE",0,0,"No Loan",271,1945-07-27,Female,"east Bohemia",74,8369,2,2,0,"No Transactions","No Card",3385
228,4448-10-15,"POPLATEK MESICNE",0,0,"No Loan",274,1970-11-25,Female,"south Bohemia",61,8114,2,3,0,"No Transactions","No Card",4104
234,4448-03-16,"POPLATEK MESICNE",0,0,"No Loan",282,1938-02-24,Female,"north Moravia",56,8746,3,4,0,"No Transactions","No Card",2809
234,4448-03-16,"POPLATEK MESICNE",0,0,"No Loan",283,1933-11-04,Male,"north Moravia",56,8746,3,4,0,"No Transactions","No Card",2809
235,4449-01-01,"POPLATEK MESICNE",0,0,"No Loan",284,1974-08-06,Male,"central Bohemia",47,10124,1,1,0,"No Transactions","No Card",2216
238,4448-06-24,"POPLATEK MESICNE",0,0,"No Loan",288,1962-04-21,Male,"central Bohemia",52,8546,3,4,0,"No Transactions","No Card",2234
239,4447-01-27,"POPLATEK TYDNE",0,0,"No Loan",289,1958-03-27,Male,"south Moravia",100,9897,2,2,900,Credit,"No Card",7189
243,4449-04-11,"POPLATEK TYDNE",0,0,"No Loan",294,1968-03-21,Male,"south Moravia",64,8757,3,4,0,"No Transactions","No Card",4108
244,4446-10-26,"POPLATEK MESICNE",0,0,"No Loan",295,1939-03-27,Male,"central Bohemia",58,8754,4,4,44616,Credit,classic,7944
259,4449-01-23,"POPLATEK MESICNE",0,0,"No Loan",312,1924-07-03,Male,"central Bohemia",47,8507,2,2,0,"No Transactions","No Card",3154
273,4448-03-12,"POPLATEK PO OBRATU",0,0,"No Loan",330,1944-08-05,Female,"south Moravia",44,8403,6,6,0,"No Transactions","No Card",9299
274,4448-06-29,"POPLATEK MESICNE",0,0,"No Loan",331,1942-03-02,Male,Prague,100,12541,0,0,0,"No Transactions","No Card",9886
279,4447-05-20,"POPLATEK MESICNE",0,0,"No Loan",336,1964-02-11,Female,"north Bohemia",90,10446,7,9,0,"No Transactions","No Card",2004
279,4447-05-20,"POPLATEK MESICNE",0,0,"No Loan",337,1957-05-08,Male,"north Bohemia",90,10446,7,9,0,"No Transactions","No Card",2004
280,4446-08-02,"POPLATEK MESICNE",0,0,"No Loan",338,1951-06-19,Female,"central Bohemia",69,11277,1,1,107115,Debit,"No Card",53910
287,4449-01-22,"POPLATEK MESICNE",0,0,"No Loan",349,1927-05-27,Female,"north Bohemia",90,10446,7,9,0,"No Transactions","No Card",2344
299,4447-05-11,"POPLATEK MESICNE",0,0,"No Loan",364,1942-12-05,Female,"south Moravia",100,9897,2,2,0,"No Transactions","No Card",0
300,4447-12-15,"POPLATEK MESICNE",0,0,"No Loan",365,1930-01-09,Male,Prague,100,12541,0,0,0,"No Transactions",classic,1628
300,4447-12-15,"POPLATEK MESICNE",0,0,"No Loan",366,1936-11-10,Female,Prague,100,12541,0,0,0,"No Transactions","No Card",1628
306,4447-11-30,"POPLATEK MESICNE",0,0,"No Loan",373,1936-02-28,Male,"south Bohemia",57,8427,1,2,0,"No Transactions","No Card",3657
317,4447-02-05,"POPLATEK MESICNE",0,0,"No Loan",387,1927-06-06,Male,"north Moravia",51,8369,5,6,6722,Credit,"No Card",6136
321,4449-04-16,"POPLATEK MESICNE",0,0,"No Loan",391,1933-05-22,Female,"east Bohemia",73,9538,2,2,0,"No Transactions","No Card",1876
322,4446-11-07,"POPLATEK MESICNE",0,0,"No Loan",392,1950-04-01,Female,"north Moravia",100,10673,5,5,21246,Credit,"No Card",19650
322,4446-11-07,"POPLATEK MESICNE",0,0,"No Loan",393,1956-08-31,Male,"north Moravia",100,10673,5,5,21246,Credit,"No Card",19650
327,4447-11-24,"POPLATEK MESICNE",0,0,"No Loan",399,1952-04-14,Male,"east Bohemia",54,8390,2,3,0,"No Transactions","No Card",7057
334,4447-09-07,"POPLATEK MESICNE",0,0,"No Loan",408,1978-02-22,Female,"north Bohemia",81,8867,1,1,0,"No Transactions","No Card",3542
340,4449-04-08,"POPLATEK MESICNE",0,0,"No Loan",416,1932-10-07,Female,Prague,100,12541,0,0,0,"No Transactions","No Card",1818
340,4449-04-08,"POPLATEK MESICNE",0,0,"No Loan",417,1930-06-10,Male,Prague,100,12541,0,0,0,"No Transactions","No Card",1818
346,4446-07-21,"POPLATEK MESICNE",0,0,"No Loan",423,1957-06-23,Male,"north Bohemia",62,9065,4,5,49832,Debit,"No Card",47250
354,4449-01-23,"POPLATEK MESICNE",0,0,"No Loan",432,1952-03-26,Female,"south Moravia",62,8444,3,3,0,"No Transactions","No Card",4771
361,4446-11-14,"POPLATEK MESICNE",0,0,"No Loan",439,1968-09-12,Female,"east Bohemia",71,8541,3,3,48476,Credit,classic,6658
362,4447-05-10,"POPLATEK MESICNE",0,0,"No Loan",440,1970-07-07,Female,"south Bohemia",52,9045,3,4,0,"No Transactions","No Card",6361
368,4448-03-07,"POPLATEK MESICNE",0,0,"No Loan",448,1970-08-15,Female,"north Moravia",54,8909,4,6,0,"No Transactions","No Card",6680
374,4446-07-19,"POPLATEK MESICNE",0,0,"No Loan",454,1949-06-15,Female,"north Bohemia",60,8965,7,8,59951,Debit,"No Card",0
381,4448-03-05,"POPLATEK MESICNE",0,0,"No Loan",461,1970-08-13,Female,"north Moravia",57,9893,4,5,0,"No Transactions","No Card",0
385,4447-05-13,"POPLATEK MESICNE",0,0,"No Loan",465,1952-09-01,Male,"central Bohemia",51,9307,4,4,0,"No Transactions","No Card",2312
389,4448-07-07,"POPLATEK MESICNE",0,0,"No Loan",470,1954-04-21,Female,"west Bohemia",82,9650,3,4,0,"No Transactions","No Card",4164
395,4447-02-07,"POPLATEK MESICNE",0,0,"No Loan",476,1947-06-01,Female,Prague,100,12541,0,0,1200,Credit,"No Card",8735
395,4447-02-07,"POPLATEK MESICNE",0,0,"No Loan",477,1954-07-20,Male,Prague,100,12541,0,0,1200,Credit,"No Card",8735
396,4447-02-03,"POPLATEK MESICNE",0,0,"No Loan",478,1978-06-21,Male,"south Bohemia",67,9104,2,2,4000,Credit,"No Card",5882
397,4449-01-21,"POPLATEK MESICNE",0,0,"No Loan",479,1947-08-20,Male,"central Bohemia",37,9622,0,1,0,"No Transactions","No Card",0
397,4449-01-21,"POPLATEK MESICNE",0,0,"No Loan",480,1946-01-24,Female,"central Bohemia",37,9622,0,1,0,"No Transactions","No Card",0
400,4448-03-18,"POPLATEK MESICNE",0,0,"No Loan",484,1959-09-13,Female,"west Bohemia",37,8594,2,2,0,"No Transactions","No Card",6948
401,4446-07-28,"POPLATEK MESICNE",0,0,"No Loan",485,1978-05-16,Male,"north Bohemia",81,9272,3,3,75536,Debit,"No Card",32214
403,4448-03-30,"POPLATEK MESICNE",0,0,"No Loan",487,1922-04-01,Female,Prague,100,12541,0,0,0,"No Transactions",classic,2401
403,4448-03-30,"POPLATEK MESICNE",0,0,"No Loan",488,1917-08-02,Male,Prague,100,12541,0,0,0,"No Transactions","No Card",2401
408,4448-03-22,"POPLATEK MESICNE",0,0,"No Loan",493,1942-06-04,Female,"north Bohemia",86,9832,3,4,0,"No Transactions",classic,5042
411,4446-10-23,"POPLATEK MESICNE",0,0,"No Loan",496,1951-05-21,Female,"north Moravia",90,10177,7,8,40336,Credit,classic,42495
415,4447-01-29,"POPLATEK MESICNE",0,0,"No Loan",501,1937-10-28,Male,"south Moravia",41,8544,1,2,13510,Credit,"No Card",17480
419,4449-01-20,"POPLATEK MESICNE",0,0,"No Loan",505,1977-12-21,Male,"central Bohemia",41,8598,3,3,0,"No Transactions","No Card",0
423,4447-02-23,"POPLATEK MESICNE",0,0,"No Loan",509,1980-05-02,Male,"north Moravia",56,8746,3,4,0,"No Transactions","No Card",1942
425,4447-02-14,"POPLATEK MESICNE",0,0,"No Loan",511,1959-02-18,Male,"central Bohemia",55,8899,3,4,1200,Credit,"No Card",3260
428,4446-11-14,"POPLATEK MESICNE",0,0,"No Loan",515,1932-05-26,Male,Prague,100,12541,0,0,6814,Credit,"No Card",7974
428,4446-11-14,"POPLATEK MESICNE",0,0,"No Loan",516,1930-04-27,Female,Prague,100,12541,0,0,6814,Credit,"No Card",7974
432,4447-12-08,"POPLATEK MESICNE",0,0,"No Loan",520,1947-09-27,Female,"east Bohemia",74,8369,2,2,0,"No Transactions","No Card",0
433,4447-12-04,"POPLATEK MESICNE",0,0,"No Loan",521,1975-12-25,Male,"north Moravia",48,8173,0,7,0,"No Transactions","No Card",0
435,4446-07-18,"POPLATEK MESICNE",0,0,"No Loan",523,1922-12-17,Male,"north Bohemia",60,8965,7,8,10478,Credit,"No Card",9567
443,4446-08-07,"POPLATEK MESICNE",0,0,"No Loan",534,1957-07-22,Male,"north Moravia",100,10673,5,5,19848,Credit,"No Card",6114
445,4448-03-30,"POPLATEK TYDNE",0,0,"No Loan",536,1939-08-25,Male,"east Bohemia",73,9538,2,2,0,"No Transactions","No Card",11565
446,4447-12-07,"POPLATEK MESICNE",0,0,"No Loan",537,1935-01-16,Male,Prague,100,12541,0,0,0,"No Transactions",classic,6941
456,4446-07-31,"POPLATEK MESICNE",0,0,"No Loan",548,1937-12-04,Male,"east Bohemia",61,8208,2,2,136313,Debit,gold,28698
459,4446-07-31,"POPLATEK MESICNE",0,0,"No Loan",551,1976-07-05,Female,"east Bohemia",73,9538,2,2,17500,Credit,"No Card",0
461,4446-11-05,"POPLATEK MESICNE",0,0,"No Loan",554,1925-04-19,Female,"west Bohemia",82,9650,3,4,6988,Credit,"No Card",3060
461,4446-11-05,"POPLATEK MESICNE",0,0,"No Loan",555,1926-10-21,Male,"west Bohemia",82,9650,3,4,6988,Credit,"No Card",3060
462,4449-04-15,"POPLATEK MESICNE",0,0,"No Loan",556,1946-07-08,Male,"west Bohemia",56,8843,3,4,0,"No Transactions","No Card",8325
465,4446-10-22,"POPLATEK MESICNE",0,0,"No Loan",559,1972-09-05,Female,"north Bohemia",81,9272,3,3,66228,Credit,"No Card",62025
467,4448-10-11,"POPLATEK MESICNE",0,0,"No Loan",561,1962-11-10,Female,"north Moravia",100,10673,5,5,0,"No Transactions","No Card",6832
477,4446-08-04,"POPLATEK MESICNE",0,0,"No Loan",574,1972-12-25,Male,Prague,100,12541,0,0,117294,Debit,"No Card",20262
485,4446-07-14,"POPLATEK PO OBRATU",0,0,"No Loan",583,1965-01-01,Female,"north Moravia",65,8819,5,6,966012,Debit,"No Card",258638
489,4447-08-31,"POPLATEK MESICNE",0,0,"No Loan",588,1960-10-20,Female,"south Moravia",54,8814,5,6,0,"No Transactions",classic,5608
492,4449-01-05,"POPLATEK MESICNE",0,0,"No Loan",591,1974-10-29,Female,"south Moravia",44,8403,6,6,0,"No Transactions","No Card",0
494,4447-02-06,"POPLATEK MESICNE",0,0,"No Loan",593,1954-07-10,Female,"south Moravia",52,8441,3,4,1200,Credit,classic,11565
496,4446-11-13,"POPLATEK MESICNE",0,0,"No Loan",596,1948-10-24,Male,"north Moravia",48,8173,0,7,6204,Credit,"No Card",7204
497,4447-05-21,"POPLATEK MESICNE",0,0,"No Loan",597,1943-02-22,Male,"south Moravia",34,8743,2,2,0,"No Transactions",classic,3405
504,4447-05-27,"POPLATEK MESICNE",0,0,"No Loan",606,1949-01-25,Female,"central Bohemia",47,10124,1,1,0,"No Transactions","No Card",2308
510,4447-11-24,"POPLATEK TYDNE",0,0,"No Loan",613,1977-08-10,Female,Prague,100,12541,0,0,0,"No Transactions","No Card",4804
517,4448-10-09,"POPLATEK MESICNE",0,0,"No Loan",621,1939-03-17,Male,"south Moravia",100,9897,2,2,0,"No Transactions","No Card",9255
519,4449-04-17,"POPLATEK MESICNE",0,0,"No Loan",623,1925-09-04,Male,"west Bohemia",80,8991,1,2,0,"No Transactions","No Card",3245
519,4449-04-17,"POPLATEK MESICNE",0,0,"No Loan",624,1932-07-26,Female,"west Bohemia",80,8991,1,2,0,"No Transactions","No Card",3245
520,4449-04-09,"POPLATEK MESICNE",0,0,"No Loan",625,1978-11-24,Female,"south Moravia",52,8441,3,4,0,"No Transactions","No Card",2332
523,4448-06-20,"POPLATEK MESICNE",0,0,"No Loan",629,1976-03-10,Male,"south Bohemia",57,8427,1,2,0,"No Transactions",junior,0
539,4446-11-03,"POPLATEK PO OBRATU",0,0,"No Loan",649,1978-05-02,Female,"central Bohemia",41,8598,3,3,14200,Credit,junior,0
540,4449-01-11,"POPLATEK MESICNE",0,0,"No Loan",651,1976-01-27,Female,"south Moravia",100,9897,2,2,0,"No Transactions","No Card",0
541,4448-06-21,"POPLATEK MESICNE",0,0,"No Loan",652,1938-12-08,Male,"south Moravia",54,8814,5,6,0,"No Transactions",classic,8728
542,4449-04-06,"POPLATEK MESICNE",0,0,"No Loan",653,1930-11-21,Female,Prague,100,12541,0,0,0,"No Transactions","No Card",2750
551,4447-08-21,"POPLATEK MESICNE",0,0,"No Loan",664,1980-03-19,Female,"north Moravia",54,8909,4,6,0,"No Transactions","No Card",0
552,4448-06-29,"POPLATEK MESICNE",0,0,"No Loan",665,1932-04-05,Female,"south Moravia",41,8544,1,2,0,"No Transactions","No Card",2097
555,4447-08-29,"POPLATEK MESICNE",0,0,"No Loan",668,1942-12-25,Female,Prague,100,12541,0,0,0,"No Transactions","No Card",7768
559,4447-01-31,"POPLATEK MESICNE",0,0,"No Loan",672,1929-11-09,Female,"east Bohemia",74,8369,2,2,5972,Credit,"No Card",4350
562,4446-11-12,"POPLATEK MESICNE",0,0,"No Loan",675,1975-11-12,Male,"east Bohemia",52,8187,5,5,4100,Credit,"No Card",0
563,4448-03-28,"POPLATEK MESICNE",0,0,"No Loan",676,1953-02-07,Male,"north Moravia",90,10177,7,8,0,"No Transactions","No Card",6245
574,4448-03-31,"POPLATEK MESICNE",0,0,"No Loan",689,1964-08-02,Male,"north Moravia",90,10177,7,8,0,"No Transactions","No Card",0
576,4446-07-11,"POPLATEK MESICNE",0,0,"No Loan",692,1936-01-11,Female,"north Moravia",100,10673,5,5,19571,Credit,"No Card",21972
576,4446-07-11,"POPLATEK MESICNE",0,0,"No Loan",693,1935-03-17,Male,"north Moravia",100,10673,5,5,19571,Credit,"No Card",21972
588,4447-02-09,"POPLATEK MESICNE",0,0,"No Loan",706,1948-08-05,Male,Prague,100,12541,0,0,3000,Credit,"No Card",5089
601,4448-06-13,"POPLATEK MESICNE",0,0,"No Loan",720,1954-09-06,Male,"west Bohemia",56,8843,3,4,0,"No Transactions","No Card",2230
616,4449-01-09,"POPLATEK MESICNE",0,0,"No Loan",740,1923-11-07,Male,"south Moravia",34,8743,2,2,0,"No Transactions","No Card",1869
623,4447-02-19,"POPLATEK MESICNE",0,0,"No Loan",748,1936-10-15,Male,"west Bohemia",62,8554,2,3,400,Credit,"No Card",2072
623,4447-02-19,"POPLATEK MESICNE",0,0,"No Loan",749,1933-07-29,Female,"west Bohemia",62,8554,2,3,400,Credit,"No Card",2072
624,4449-01-06,"POPLATEK MESICNE",0,0,"No Loan",750,1956-09-29,Female,"north Moravia",90,10177,7,8,0,"No Transactions","No Card",0
626,4449-04-16,"POPLATEK MESICNE",0,0,"No Loan",752,1944-12-20,Male,"north Moravia",63,8994,4,5,0,"No Transactions","No Card",3639
626,4449-04-16,"POPLATEK MESICNE",0,0,"No Loan",753,1940-09-24,Female,"north Moravia",63,8994,4,5,0,"No Transactions","No Card",3639
627,4446-10-23,"POPLATEK MESICNE",0,0,"No Loan",754,1947-06-04,Female,"south Moravia",51,8288,4,5,92120,Credit,"No Card",43910
630,4447-12-21,"POPLATEK MESICNE",0,0,"No Loan",757,1970-12-20,Female,"north Moravia",70,8678,6,6,0,"No Transactions","No Card",2361
640,4447-11-24,"POPLATEK MESICNE",0,0,"No Loan",768,1931-09-23,Female,"north Bohemia",81,9272,3,3,0,"No Transactions","No Card",2891
648,4449-04-14,"POPLATEK MESICNE",0,0,"No Loan",778,1940-06-04,Male,"central Bohemia",41,8598,3,3,0,"No Transactions",classic,9240
652,4446-07-15,"POPLATEK MESICNE",0,0,"No Loan",782,1963-03-18,Female,"central Bohemia",51,9307,4,4,50109,Debit,"No Card",60728
655,4447-02-19,"POPLATEK MESICNE",0,0,"No Loan",786,1978-09-06,Male,"south Moravia",51,8240,3,4,4000,Credit,junior,4469
657,4448-06-17,"POPLATEK MESICNE",0,0,"No Loan",788,1974-09-03,Male,"east Bohemia",73,9538,2,2,0,"No Transactions","No Card",2928
678,4449-01-03,"POPLATEK MESICNE",0,0,"No Loan",814,1959-10-01,Male,"south Bohemia",53,8402,3,4,0,"No Transactions","No Card",5088
686,4447-05-10,"POPLATEK MESICNE",0,0,"No Loan",823,1956-10-24,Male,"north Bohemia",86,9832,3,4,0,"No Transactions","No Card",6070
697,4446-11-10,"POPLATEK MESICNE",0,0,"No Loan",835,1943-10-20,Female,"west Bohemia",37,8594,2,2,24267,Credit,"No Card",19116
697,4446-11-10,"POPLATEK MESICNE",0,0,"No Loan",836,1948-06-14,Male,"west Bohemia",37,8594,2,2,24267,Credit,"No Card",19116
699,4448-10-04,"POPLATEK MESICNE",0,0,"No Loan",839,1955-05-18,Female,"east Bohemia",73,9538,2,2,0,"No Transactions","No Card",0
